O3,O3+gcm,binary,Diff in size (more is good),Percentage decrease (more is good)
34284,34252,libLLVMWindowsManifest.a,32,0.093338
796348,796004,libLLVMX86AsmParser.a,344,0.043197195
699172,699124,libLLVMX86AsmPrinter.a,48,0.006865263
6728950,6731112,libLLVMX86CodeGen.a,-2162,-0.032129827
2545482,2544730,libLLVMX86Desc.a,752,0.029542539
1711718,1711654,libLLVMX86Disassembler.a,64,0.003738934
6156,6156,libLLVMX86Info.a,0,0
28838,29950,libLLVMX86Utils.a,-1112,-3.856023303
353436,353916,libLLVMXRay.a,-480,-0.135809595
25424,25424,BugpointPasses.so,0,0
53243904,53230392,libclang.so.8,13512,0.025377553
29241504,29248064,libLTO.so.8,-6560,-0.022433867
7592,7592,libOptRemarks.so.8,0,0
14480,14480,LLVMHello.so,0,0
